epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,172.945,2.34495,3.98988,1.80218,0.00467,0.28503,0.01142,0.00563,2.05778,3.89298,1.63775,0.00124247,0.000414157,0.00124247,0.000414157,0.00124247,0.000414157,0.00124247,0.000414157
2,318.247,2.06222,3.58744,1.56776,0.75975,0.10813,0.07644,0.03447,1.94822,3.14855,1.54172,0.00236909,0.000789698,0.00236909,0.000789698,0.00236909,0.000789698,0.00236909,0.000789698
3,464.304,2.01505,2.89907,1.4975,0.78488,0.17082,0.17735,0.08062,1.85649,2.70463,1.42869,0.00337197,0.00112399,0.00337197,0.00112399,0.00337197,0.00112399,0.00337197,0.00112399
4,607.344,1.98689,2.51767,1.43718,0.81636,0.22058,0.24797,0.11638,1.74592,2.32602,1.34977,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
5,751.855,1.9043,2.22242,1.39019,0.82853,0.24213,0.2849,0.14273,1.68508,2.11531,1.30388,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
6,894.322,1.87585,2.09105,1.35658,0.74006,0.32681,0.37064,0.19757,1.64272,1.8971,1.26819,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
7,1039.61,1.85967,1.94015,1.34733,0.68861,0.40062,0.39674,0.21477,1.62467,1.76974,1.26015,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
8,1184.75,1.80421,1.83487,1.32123,0.73437,0.40245,0.43152,0.23064,1.60906,1.65425,1.25935,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
9,1332.07,1.77121,1.776,1.29785,0.74919,0.42925,0.45706,0.24224,1.57742,1.60712,1.25143,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
10,1478.3,1.75577,1.72423,1.2968,0.78568,0.41578,0.47437,0.25811,1.55943,1.56945,1.22962,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
11,1627.51,1.73737,1.78421,1.31331,0.76583,0.44532,0.48721,0.26507,1.5528,1.57858,1.21914,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
12,1767.52,1.67663,1.66978,1.27213,0.80766,0.45022,0.49926,0.27375,1.54845,1.52403,1.21364,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
13,1919.8,1.6556,1.627,1.25443,0.8097,0.46665,0.51796,0.28617,1.53376,1.49212,1.19778,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
14,2104.68,1.63777,1.58511,1.24792,0.78032,0.49224,0.51855,0.28737,1.52401,1.48946,1.20058,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
15,2242.41,1.63949,1.55805,1.24384,0.8099,0.48076,0.53079,0.29454,1.50294,1.46436,1.19665,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
16,2382.61,1.63016,1.54907,1.24507,0.81735,0.47743,0.53119,0.29556,1.51391,1.45871,1.19123,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
17,2523.96,1.60868,1.52969,1.22909,0.80789,0.50509,0.54775,0.30734,1.49742,1.43628,1.18469,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
18,2664.13,1.5938,1.49857,1.22733,0.82661,0.48931,0.55574,0.306,1.51265,1.43791,1.18059,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
19,2805.28,1.59252,1.49098,1.22015,0.7867,0.51232,0.5526,0.30386,1.51538,1.44541,1.18229,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
20,2946.9,1.57343,1.46831,1.21028,0.79749,0.50735,0.5602,0.30578,1.50137,1.42653,1.1782,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
