epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.145,1.83559,3.63247,1.72054,0.43938,0.30612,0.31129,0.1309,2.20116,7.65556,2.52758,0.000414157,0.000414157,0.000414157
2,576.481,1.93054,3.06525,1.82156,0.2341,0.34724,0.25951,0.11975,2.01652,5.07193,1.93965,0.000814373,0.000814373,0.000814373
3,931.034,1.95841,2.6447,1.83817,0.43027,0.33333,0.31403,0.12143,2.09049,3.86345,2.00605,0.00119809,0.00119809,0.00119809
4,1240.32,1.95998,2.40054,1.84481,0.6121,0.36735,0.44831,0.15987,1.93548,3.09074,1.89355,0.00117575,0.00117575,0.00117575
5,1577.88,1.95851,2.27653,1.8307,0.64199,0.5034,0.54892,0.23645,1.94523,3.31634,1.84598,0.001151,0.001151,0.001151
6,1885.76,1.91642,2.19055,1.77052,0.6669,0.50393,0.62098,0.25152,1.90435,3.7185,1.83642,0.00112625,0.00112625,0.00112625
7,2178.82,1.83974,1.98948,1.77808,0.64294,0.53061,0.56399,0.2365,1.83636,2.88817,1.88448,0.0011015,0.0011015,0.0011015
8,10424.5,1.80942,1.85713,1.69967,0.7847,0.55102,0.66543,0.3231,1.7754,1.99516,1.78083,0.00107675,0.00107675,0.00107675
9,20802.9,1.7805,1.80095,1.66874,0.74597,0.44218,0.55601,0.23928,1.84466,2.21661,1.76683,0.001052,0.001052,0.001052
10,25724.7,1.74993,1.75868,1.66518,0.61758,0.57143,0.62288,0.30815,1.80482,2.41287,1.82177,0.00102725,0.00102725,0.00102725
11,25967.1,1.73677,1.66863,1.66087,0.58913,0.58524,0.64109,0.30475,1.77573,1.87075,1.74534,0.0010025,0.0010025,0.0010025
12,26214.6,1.70308,1.63337,1.63063,0.76557,0.63946,0.72967,0.37984,1.72934,1.60002,1.6769,0.00097775,0.00097775,0.00097775
13,26464.9,1.68732,1.6023,1.61591,0.67029,0.65,0.72042,0.36031,1.7882,1.85709,1.73079,0.000953,0.000953,0.000953
14,26739.4,1.65066,1.55122,1.57478,0.82914,0.60544,0.75437,0.38378,1.61886,1.48165,1.54208,0.00092825,0.00092825,0.00092825
15,27038.8,1.67147,1.56699,1.58254,0.76089,0.64626,0.74504,0.36812,1.61941,1.49786,1.58141,0.0009035,0.0009035,0.0009035
16,27372.5,1.64004,1.48593,1.57634,0.79966,0.59864,0.71267,0.37047,1.70986,1.51246,1.60142,0.00087875,0.00087875,0.00087875
17,27712.7,1.64852,1.43177,1.54993,0.79798,0.69864,0.79191,0.40913,1.54076,1.48871,1.57226,0.000854,0.000854,0.000854
18,28014.1,1.64805,1.43794,1.56424,0.86695,0.61224,0.76758,0.39891,1.58657,1.35208,1.54356,0.00082925,0.00082925,0.00082925
19,28344,1.57099,1.39761,1.53405,0.81701,0.69857,0.78531,0.4122,1.52118,1.35347,1.56561,0.0008045,0.0008045,0.0008045
20,28677.3,1.59376,1.40441,1.52753,0.77863,0.71429,0.80747,0.42152,1.57429,1.20767,1.54526,0.00077975,0.00077975,0.00077975
21,29076.2,1.58401,1.32737,1.5086,0.79456,0.7367,0.82315,0.40328,1.69081,1.26625,1.63612,0.000755,0.000755,0.000755
22,29389.1,1.5625,1.323,1.50588,0.83807,0.68707,0.79182,0.39624,1.68511,1.34681,1.6512,0.00073025,0.00073025,0.00073025
23,29672.5,1.53296,1.3023,1.47793,0.78479,0.70748,0.78783,0.40628,1.62526,1.34371,1.51518,0.0007055,0.0007055,0.0007055
24,29954,1.56491,1.28507,1.51371,0.7929,0.72924,0.80819,0.42284,1.59421,1.31383,1.51857,0.00068075,0.00068075,0.00068075
25,30237.8,1.48302,1.19121,1.4477,0.78812,0.7619,0.81142,0.42111,1.57144,1.14692,1.52058,0.000656,0.000656,0.000656
26,30521.2,1.44822,1.17546,1.43118,0.85937,0.65986,0.79064,0.42645,1.51892,1.19766,1.46218,0.00063125,0.00063125,0.00063125
27,30807.2,1.49573,1.19369,1.44769,0.81802,0.72109,0.82297,0.44104,1.58668,1.25727,1.53987,0.0006065,0.0006065,0.0006065
28,31094,1.48979,1.16788,1.44681,0.83579,0.7551,0.85206,0.43532,1.55185,1.05684,1.52287,0.00058175,0.00058175,0.00058175
29,31381.5,1.49229,1.13866,1.44085,0.80697,0.76784,0.82719,0.44674,1.65527,1.35527,1.5864,0.000557,0.000557,0.000557
30,31669.5,1.45015,1.10899,1.43063,0.86838,0.76299,0.87205,0.44907,1.75787,1.18438,1.84423,0.00053225,0.00053225,0.00053225
31,31957.1,1.42751,1.09222,1.38958,0.872,0.78912,0.88084,0.45185,1.51251,1.06367,1.48116,0.0005075,0.0005075,0.0005075
32,32245.2,1.45304,1.09153,1.42182,0.80179,0.80952,0.87042,0.46945,1.58952,1.19813,1.52705,0.00048275,0.00048275,0.00048275
33,32537.7,1.4273,1.10277,1.42629,0.83661,0.76629,0.85628,0.47741,1.55445,0.9732,1.47644,0.000458,0.000458,0.000458
34,32827.2,1.40759,1.04503,1.38277,0.78146,0.80274,0.86777,0.47282,1.52532,1.18947,1.47907,0.00043325,0.00043325,0.00043325
35,33117.8,1.39441,1.02121,1.35431,0.86206,0.78912,0.88218,0.46683,1.69335,1.02421,1.72641,0.0004085,0.0004085,0.0004085
36,33408.3,1.40137,1.03218,1.39767,0.85727,0.77551,0.87875,0.48568,1.47301,1.01973,1.44031,0.00038375,0.00038375,0.00038375
37,33698.4,1.3688,1.0006,1.36869,0.83397,0.77551,0.88091,0.47387,1.50587,1.02081,1.45391,0.000359,0.000359,0.000359
38,33988.3,1.34004,0.96785,1.34119,0.7776,0.80869,0.84344,0.47297,1.49373,1.02103,1.4253,0.00033425,0.00033425,0.00033425
39,34278.4,1.34641,0.97583,1.32284,0.82339,0.77551,0.859,0.47722,1.47204,0.98428,1.42026,0.0003095,0.0003095,0.0003095
40,34568.4,1.33154,0.93976,1.3305,0.83316,0.78137,0.87452,0.48441,1.50076,0.99714,1.42201,0.00028475,0.00028475,0.00028475
41,34857.8,1.35263,0.89957,1.36094,0.83548,0.82914,0.87512,0.48546,1.48629,0.95291,1.44991,0.00026,0.00026,0.00026
42,35148.7,1.31243,0.8346,1.32785,0.89377,0.74408,0.86169,0.46425,1.54917,1.02764,1.50375,0.00023525,0.00023525,0.00023525
43,35444.5,1.30251,0.82783,1.32204,0.82113,0.83673,0.8853,0.46789,1.51868,0.96206,1.46204,0.0002105,0.0002105,0.0002105
44,35736,1.27381,0.79709,1.31612,0.83451,0.83673,0.89241,0.47928,1.5227,1.04532,1.43677,0.00018575,0.00018575,0.00018575
45,36017,1.25434,0.74801,1.2857,0.83842,0.77656,0.86545,0.47487,1.54655,1.20186,1.46455,0.000161,0.000161,0.000161
46,36292.4,1.2135,0.75236,1.26442,0.89876,0.72474,0.86526,0.47702,1.546,1.18202,1.47989,0.00013625,0.00013625,0.00013625
47,36567.1,1.22838,0.75064,1.26064,0.91418,0.73469,0.87409,0.49132,1.51318,1.02845,1.44747,0.0001115,0.0001115,0.0001115
48,36842.7,1.18579,0.72145,1.23238,0.81577,0.83673,0.88934,0.49203,1.53272,1.05644,1.46078,8.675e-05,8.675e-05,8.675e-05
49,37123.6,1.19506,0.71786,1.24299,0.81584,0.81371,0.88496,0.4871,1.4945,0.93009,1.42978,6.2e-05,6.2e-05,6.2e-05
50,37403.5,1.17756,0.69953,1.22796,0.81104,0.81633,0.8878,0.48593,1.48293,0.91778,1.42522,3.725e-05,3.725e-05,3.725e-05
